"","city","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","category","sale.dollars","sale.volume","sale.dollars.capita","sale.volume.capita"
"1","Ackley",88.8,20,4,30790,1738,1715,0,0,0,0,15,8,"Whisky",25785,2178,14.8360184119678,1.25316455696203
"2","Ackley",88.8,20,4,30790,1738,1715,0,0,0,0,15,8,"Gin",1250,129,0.71921749136939,0.0742232451093211
"3","Ackley",88.8,20,4,30790,1738,1715,0,0,0,0,15,8,"Distilled Spirits",123,15,0.070771001150748,0.00863060989643268
"4","Ackley",88.8,20,4,30790,1738,1715,0,0,0,0,15,8,"Rum",10236,673,5.88952819332566,0.38722669735328
"5","Ackley",88.8,20,4,30790,1738,1715,0,0,0,0,15,8,"Misc",2312,122,1.33026467203682,0.0701956271576525
"6","Ackley",88.8,20,4,30790,1738,1715,0,0,0,0,15,8,"Tequila",945,48,0.543728423475259,0.0276179516685846
"7","Ackley",88.8,20,4,30790,1738,1715,0,0,0,0,15,8,"Vodka",14528,1652,8.3590333716916,0.950517836593786
"8","Ackley",88.8,20,4,30790,1738,1715,0,0,0,0,15,8,"Brandy",595,54,0.34234752589183,0.0310701956271577
"9","Ackley",88.8,20,4,30790,1738,1715,0,0,0,0,15,8,"Amaretto",239,24,0.137514384349827,0.0138089758342923
"10","Ackley",88.8,20,4,30790,1738,1715,0,0,0,0,15,8,"Schnapps",2045,162,1.17663981588032,0.093210586881473
"11","Adair",96.6,19,6.8,32639,813,788,4,1,4,0,3,13,"Amaretto",18,3,0.022140221402214,0.003690036900369
"12","Adair",96.6,19,6.8,32639,813,788,4,1,4,0,3,13,"Schnapps",956,67,1.17589175891759,0.0824108241082411
"13","Adair",96.6,19,6.8,32639,813,788,4,1,4,0,3,13,"Brandy",670,34,0.824108241082411,0.041820418204182
"14","Adair",96.6,19,6.8,32639,813,788,4,1,4,0,3,13,"Tequila",1032,34,1.26937269372694,0.041820418204182
"15","Adair",96.6,19,6.8,32639,813,788,4,1,4,0,3,13,"Misc",2196,89,2.70110701107011,0.109471094710947
"16","Adair",96.6,19,6.8,32639,813,788,4,1,4,0,3,13,"Vodka",11760,969,14.4649446494465,1.19188191881919
"17","Adair",96.6,19,6.8,32639,813,788,4,1,4,0,3,13,"Gin",521,36,0.640836408364084,0.044280442804428
