"","county","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","category","sale.dollars","sale.volume","sale.dollars.capita","sale.volume.capita"
"1","Adair",93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77,"Vodka",40851,4101,5.5731241473397,0.559481582537517
"2","Adair",93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77,"Rum",31541,2376,4.30300136425648,0.324147339699864
"3","Adair",93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77,"Brandy",7981,695,1.08881309686221,0.0948158253751705
"4","Adair",93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77,"Gin",2051,160,0.279809004092769,0.0218281036834925
"5","Adair",93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77,"Schnapps",9266,908,1.26412005457026,0.12387448840382
"6","Adair",93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77,"Whisky",113112,7956,15.431377899045,1.08540245566166
"7","Adair",93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77,"Tequila",11397,760,1.55484311050477,0.103683492496589
"8","Adair",93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77,"Amaretto",583,77,0.0795361527967258,0.0105047748976808
"9","Adair",93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77,"Misc",14372,918,1.96070941336971,0.125238744884038
"10","Adair",93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77,"Distilled Spirits",1618,110,0.220736698499318,0.0150068212824011
"11","Adams",92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,"Gin",2333,212,0.610413396127682,0.0554683411826269
"12","Adams",92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,"Rum",14309,985,3.74385138670853,0.257718472004186
"13","Adams",92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,"Distilled Spirits",1044,68,0.273155416012559,0.0177917320774464
"14","Adams",92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,"Amaretto",450,60,0.117739403453689,0.0156985871271586
"15","Adams",92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,"Whisky",103643,7006,27.1174777603349,1.83307169021455
"16","Adams",92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,"Misc",13064,780,3.41810570381999,0.204081632653061
"17","Adams",92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,"Tequila",9413,712,2.46284667713239,0.186289900575615
"18","Adams",92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,"Vodka",25321,2686,6.6250654107797,0.702773417059131
"19","Adams",92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,"Brandy",2900,249,0.75876504447933,0.065149136577708
"20","Adams",92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,"Schnapps",7172,518,1.87650444793302,0.135531135531136
"21","Allamakee",88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,"Vodka",158147,15919,11.2954074708949,1.13699021498464
"22","Allamakee",88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,"Amaretto",2381,239,0.170059281479894,0.0170702092707664
"23","Allamakee",88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,"Misc",69287,4301,4.94871794871795,0.307192343404043
"24","Allamakee",88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,"Whisky",287559,21650,20.5384615384615,1.54631812013428
"25","Allamakee",88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,"Schnapps",79787,6237,5.69866438111564,0.445468180844225
"26","Allamakee",88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,"Distilled Spirits",3430,232,0.244982501249911,0.0165702449825012
"27","Allamakee",88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,"Gin",11174,901,0.798085851010642,0.0643525462466967
"28","Allamakee",88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,"Rum",123946,8436,8.85265338190129,0.602528390829226
"29","Allamakee",88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,"Tequila",22729,1451,1.62338404399686,0.103635454610385
"30","Allamakee",88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,"Brandy",40302,3649,2.87850867795157,0.260624241125634
"31","Appanoose",89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182,"Tequila",36133,2679,2.86724329471512,0.212585303920013
"32","Appanoose",89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182,"Distilled Spirits",3942,186,0.312807490874464,0.0147595619742898
"33","Appanoose",89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182,"Rum",105160,7627,8.34470718933503,0.605221393429614
"34","Appanoose",89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182,"Gin",13018,1124,1.03301063323282,0.0891921917156007
"35","Appanoose",89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182,"Brandy",11199,880,0.888668465322965,0.0698301856848119
"36","Appanoose",89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182,"Misc",70681,3909,5.60871290271386,0.310188858911284
"37","Appanoose",89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182,"Amaretto",5257,506,0.417156006983019,0.0401523567687669
"38","Appanoose",89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182,"Whisky",314443,19653,24.9518330423742,1.55951436279956
"39","Appanoose",89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182,"Schnapps",45465,3757,3.60776067290906,0.298127281383907
"40","Appanoose",89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182,"Vodka",160579,15761,12.7423424853198,1.25067449611173
"41","Audubon",89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86,"Distilled Spirits",356,18,0.0614534783359227,0.00310719834282755
"42","Audubon",89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86,"Amaretto",1481,197,0.255653374762645,0.034006559640946
"43","Audubon",89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86,"Whisky",71730,5796,12.3821853961678,1.00051786639047
"44","Audubon",89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86,"Misc",10066,624,1.73761436216123,0.107716209218022
"45","Audubon",89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86,"Brandy",3716,346,0.641463835663732,0.0597272570343518
"46","Audubon",89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86,"Rum",30595,2232,5.28137407215605,0.385292594510616
"47","Audubon",89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86,"Gin",2028,162,0.350077679958571,0.027964785085448
"48","Audubon",89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86,"Schnapps",6047,564,1.0438460210599,0.0973588814085966
"49","Audubon",89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86,"Vodka",31303,3926,5.40359054030727,0.67771448299672
"50","Audubon",89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86,"Tequila",3430,237,0.592093906438805,0.0409114448472294
"51","Benton",92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297,"Schnapps",43782,3419,1.70225505443235,0.132931570762053
"52","Benton",92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297,"Distilled Spirits",4114,178,0.1599533437014,0.00692068429237947
"53","Benton",92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297,"Brandy",24499,2159,0.952527216174184,0.0839424572317263
"54","Benton",92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297,"Gin",10103,933,0.392807153965785,0.0362752721617418
"55","Benton",92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297,"Vodka",138430,14600,5.38219284603421,0.567651632970451
"56","Benton",92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297,"Rum",103779,7354,4.0349533437014,0.28592534992224
"57","Benton",92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297,"Tequila",28704,2080,1.11601866251944,0.0808709175738725
"58","Benton",92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297,"Amaretto",2658,221,0.103343701399689,0.00859253499222395
"59","Benton",92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297,"Whisky",288848,21693,11.2304821150855,0.843429237947123
"60","Benton",92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297,"Misc",51367,3242,1.99716174183515,0.126049766718507
"61","Black Hawk",90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,"Misc",1310459,75360,9.86635396511094,0.567380158258107
"62","Black Hawk",90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,"Tequila",1040044,56138,7.83041838263528,0.422659067466741
"63","Black Hawk",90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,"Schnapps",754695,51979,5.68204576083601,0.391346247957778
"64","Black Hawk",90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,"Gin",579620,44616,4.36391835628402,0.335910737006949
"65","Black Hawk",90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,"Brandy",1308312,62581,9.85018935258732,0.471167962897433
"66","Black Hawk",90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,"Whisky",4490927,275531,33.8118746282591,2.07445358791155
"67","Black Hawk",90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,"Rum",1953607,137217,14.7085701809202,1.03309717589839
"68","Black Hawk",90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,"Amaretto",58143,5916,0.43775457194269,0.0445411493664405
