"","zipcode","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","category","sale.dollars","sale.volume","sale.dollars.capita","sale.volume.capita"
"1",50002,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13,"Schnapps",956,67,0.700879765395894,0.0491202346041056
"2",50002,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13,"Brandy",670,34,0.491202346041056,0.0249266862170088
"3",50002,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13,"Misc",2196,89,1.6099706744868,0.0652492668621701
"4",50002,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13,"Whisky",19034,1083,13.9545454545455,0.793988269794721
"5",50002,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13,"Gin",521,36,0.381964809384164,0.0263929618768328
"6",50002,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13,"Vodka",11760,969,8.6217008797654,0.710410557184751
"7",50002,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13,"Tequila",1032,34,0.756598240469208,0.0249266862170088
"8",50002,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13,"Amaretto",18,3,0.0131964809384164,0.00219941348973607
"9",50002,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13,"Rum",6921,440,5.07404692082111,0.32258064516129
"10",50003,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95,"Rum",42835,3385,6.21427535180618,0.491077905121137
"11",50003,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95,"Brandy",3909,288,0.567097054983316,0.041781517481503
"12",50003,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95,"Amaretto",785,69,0.113883650079791,0.0100101552299434
"13",50003,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95,"Vodka",76744,7567,11.1336138111127,1.0977803568838
"14",50003,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95,"Distilled Spirits",1626,69,0.235891484114319,0.0100101552299434
"15",50003,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95,"Gin",6622,591,0.960684752647614,0.0857391556651676
"16",50003,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95,"Schnapps",5992,474,0.869287683156826,0.068765414188307
"17",50003,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95,"Tequila",18351,1367,2.66226606702452,0.198317133323662
"18",50003,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95,"Misc",23034,1494,3.34165095023937,0.216741621935297
"19",50003,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95,"Whisky",126213,8458,18.3103148121282,1.2270419265922
"20",50006,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3,"Whisky",44967,3003,29.505905511811,1.97047244094488
"21",50006,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3,"Brandy",564,54,0.37007874015748,0.0354330708661417
"22",50006,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3,"Gin",2049,226,1.34448818897638,0.148293963254593
"23",50006,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3,"Schnapps",2592,206,1.7007874015748,0.135170603674541
"24",50006,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3,"Distilled Spirits",295,14,0.193569553805774,0.00918635170603675
"25",50006,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3,"Tequila",2113,99,1.38648293963255,0.0649606299212598
"26",50006,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3,"Amaretto",333,47,0.218503937007874,0.0308398950131234
"27",50006,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3,"Rum",19915,1413,13.0675853018373,0.927165354330709
"28",50006,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3,"Misc",4662,280,3.05905511811024,0.183727034120735
"29",50006,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3,"Vodka",16466,1695,10.8044619422572,1.11220472440945
"30",50009,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,"Rum",341864,24537,18.3797849462366,1.3191935483871
"31",50009,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,"Misc",214560,12823,11.5354838709677,0.689408602150538
"32",50009,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,"Gin",49068,3513,2.63806451612903,0.188870967741935
"33",50009,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,"Tequila",145529,10411,7.82413978494624,0.559731182795699
"34",50009,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,"Schnapps",64271,4759,3.45543010752688,0.255860215053763
"35",50009,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,"Distilled Spirits",11623,501,0.62489247311828,0.0269354838709677
"36",50009,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,"Amaretto",10629,899,0.571451612903226,0.0483333333333333
