,Per Capita Sales ($),,,Per Capita Volume ,,
Rank,Cities,Counties,Zipcodes,Cities,Counties,Zipcodes
1,Wesley,Dickinson ,52401,Bevington,Dickinson ,50033
2,Bevington,Polk,50033,Wesley,Cerro Gordo,52401
3,Mount Vernon,Cerro Gordo,50314,Mount Vernon,Polk,50314
4,Spirit Lake,Black Hawk,51101,Spirit Lake,Carroll,52166
5,Bancroft,Johnson,52166,Bancroft,Black Hawk,51101
6,Arnold's Park,Scott,50320,Milford,Kossuth,51331
7,Milford,Carroll,51331,Fort Atkinson,Linn,50320
8,Floyd,Linn,52807,Arnold's Park,Scott,50311
9,Fort Atkinson,Kossuth,50311,Floyd,Johnson,50483
10,Swisher,Pottawattamie,50483,Holy Cross,Clay,52807
