"","city","sum.sale.dollars.","population","perCapitaSales"
"1","Ackley",58058,1738,33.4050632911392
"2","Adair",43108,813,53.0233702337023
"3","Adel",306111,4030,75.958064516129
"4","Afton",31999,967,33.0910031023785
"5","Akron",31070,1485,20.9225589225589
"6","Albert City",1710,589,2.90322580645161
"7","Albia",288395,3795,75.9934123847167
"8","Alburnett",667,633,1.05371248025276
"9","Alden",93956,769,122.179453836151
"10","Algona",948866,5496,172.646652110626
"11","Allison",75212,1222,61.5482815057283
"12","Alta",8486,2104,4.03326996197719
"13","Alta Vista",5695,301,18.9202657807309
"14","Alton",78063,1325,58.9154716981132
"15","Altoona",2212755,16692,132.56380301941
"16","Alvord",153,236,0.648305084745763
"17","Ames",7325051,64073,114.323521608166
"18","Anamosa",620676,5459,113.697746840081
"19","Anita",69026,870,79.3402298850575
"20","Ankeny",4594334,53413,86.0152771797128
"21","Anthon",103419,670,154.35671641791
"22","Arlington",28878,526,54.9011406844106
"23","Armstrong",46065,898,51.2973273942094
"24","Arnolds Park",403051,1024,393.6044921875
"25","Atkins",3360,1713,1.9614711033275
"26","Atlantic",1012777,6817,148.566378172217
"27","Audubon",128960,2043,63.1228585413607
"28","Aurelia",8467,955,8.86596858638744
"29","Avoca",344311,1478,232.957374830853
"30","Baldwin",28270,146,193.630136986301
"31","Bancroft",302605,712,425.00702247191
"32","Baxter",31418,1081,29.063829787234
"33","Bedford",59589,1446,41.2095435684647
"34","Belle Plaine",261209,2562,101.955113192818
"35","Bellevue",275575,2193,125.661194710442
"36","Belmond",258406,2686,96.204765450484
"37","Bettendorf",5006320,35048,142.841816936772
"38","Bevington",36263,54,671.537037037037
"39","Bloomfield",93510,2622,35.6636155606407
"40","Blue Grass",75133,1563,48.0697376839411
"41","Bondurant",82743,5079,16.2911990549321
"42","Boone",1216408,12609,96.4714093108097
"43","Britt",113067,1919,58.9197498697238
"44","Brooklyn",112066,1422,78.8087201125176
"45","Buffalo",33458,1226,27.2903752039152
"46","Buffalo Center",60520,841,71.961950059453
"47","Burlington",2553971,25492,100.18715675506
"48","Bussey",14756,578,25.5294117647059
"49","Camanche",87183,4368,19.959478021978
"50","Cambridge",25233,853,29.5814771395076
"51","Carlisle",84526,4031,20.9689903249814
"52","Carroll",2039061,9990,204.11021021021
"53","Carter Lake",76234,3765,20.2480743691899
"54","Cascade",131650,1978,66.5571284125379
"55","Casey",25446,391,65.079283887468
"56","Cedar Falls",4943947,40828,121.092069168218
"57","Cedar Rapids",18271501,129537,141.052371137204
"58","Center Point",71366,2507,28.4666932588752
"59","Centerville",710531,5404,131.482420429312
"60","Central City",74771,1320,56.644696969697
"61","Chariton",369919,4219,87.6793078928656
"62","Charles City",927546,7496,123.738794023479
"63","Cherokee",668894,5113,130.822217876002
"64","Chester",2996,263,11.3916349809886
"65","Clarinda",401558,5431,73.9381329405266
"66","Clarion",136425,2783,49.0208408192598
"67","Clarksville",40626,1276,31.8385579937304
"68","Clear Lake",1638256,7644,214.319204604919
"69","Clinton",2847891,26148,108.914295548417
"70","Clive",732924,17022,43.05745505816
"71","Colesburg",11777,462,25.491341991342
"72","Colfax",115358,1925,59.9262337662338
"73","Colo",39066,886,44.0925507900677
"74","Columbus Junction",130085,2214,58.7556458897922
"75","Conrad",51340,1073,47.8471575023299
"76","Coon Rapids",62558,1371,45.6294675419402
"77","Coralville",5146272,20078,256.313975495567
"78","Corning",179649,1598,112.421151439299
"79","Corwith",11037,230,47.9869565217391
"80","Corydon",94007,1544,60.8853626943005
"81","Council Bluffs",8718184,62326,139.880370952732
"82","Crescent",10620,522,20.3448275862069
"83","Cresco",641780,3839,167.173743162282
"84","Creston",887090,7877,112.617747873556
"85","Cumming",14610,415,35.2048192771084
"86","Dakota City",12760,713,17.8962131837307
"87","Danville",5768,1079,5.34569045412419
"88","Davenport",13251726,102305,129.53155759738
"89","Dayton",58313,704,82.8309659090909
"90","De Soto",73036,1065,68.5784037558685
"91","De Witt",271795,5264,51.6327887537994
"92","Decorah",1181316,7985,147.941891045711
"93","Delaware",10479,133,78.7894736842105
"94","Delhi",2914,445,6.54831460674157
"95","Delmar",11239,497,22.6136820925553
"96","Denison",1117922,8326,134.268796540956
"97","Denver",89409,1814,49.2883131201764
"98","Des Moines",38071367,212859,178.857210641786
