category,Table Name,zipcode,bachelor,high.school,income,pop.asian,pop.black,pop.hawai,pop.indian,pop.multi,pop.other,pop.white,population,sale.dollars,sale.volume,unemployment
,project.acs.zipcodes.csv,50001,18.3,91.9,40132,0,0,0,0,9,0,566,575,,,7.6
,project.acs.zipcodes.csv,50002,17.1,96.5,32938,4,4,0,1,13,3,1339,1364,,,5.5
,project.acs.zipcodes.csv,50003,38.8,95,41809,16,32,0,22,95,0,6728,6893,,,2.5
,project.acs.zipcodes.csv,50005,19,89.7,31528,0,0,0,0,74,4,929,1007,,,4.9
,project.acs.zipcodes.csv,50006,15.2,91.1,31989,0,0,0,0,3,41,1480,1524,,,3.2
,project.acs.zipcodes.csv,50007,31.7,97,41591,0,0,0,0,4,3,588,595,,,1.3
,project.acs.zipcodes.csv,50008,11.6,94,21875,0,11,0,7,21,0,939,978,,,1.3
,project.acs.zipcodes.csv,50009,30.8,94.5,40354,334,122,0,13,440,7,17684,18600,,,4.2
,project.acs.zipcodes.csv,50010,59.4,97.1,23481,3732,1214,29,101,1082,100,25853,32111,,,4.6
,project.acs.zipcodes.csv,50011,,,2978,0,20,0,0,42,0,1525,1587,,,21.9
,project.acs.zipcodes.csv,50012,0,100,3175,120,122,0,0,34,47,4420,4743,,,19.7
,project.acs.zipcodes.csv,50014,65.7,97.3,11995,2513,658,11,22,1043,143,25335,29725,,,5.1
,project.acs.zipcodes.csv,50020,14.3,93.5,28375,0,0,0,0,0,3,1195,1198,,,5.4
,project.acs.zipcodes.csv,50021,47.1,97.8,40214,710,272,0,0,282,108,23621,24993,,,3.2
,project.acs.zipcodes.csv,50022,21.6,89.1,27577,30,35,23,46,57,15,7942,8148,,,2.2
,project.acs.zipcodes.csv,50023,44.4,97.4,40065,451,386,0,0,956,12,31196,33001,,,3.9
,project.acs.zipcodes.csv,50025,13.4,89.1,27099,11,11,0,34,61,0,2990,3107,,,2.2
,project.acs.zipcodes.csv,50026,20.3,95.2,35662,3,0,0,3,29,0,577,612,,,5.3
,project.acs.zipcodes.csv,50027,8.8,82.7,25536,0,7,0,2,18,0,285,312,,,14.9
,project.acs.zipcodes.csv,50028,19.3,93,37353,0,0,0,12,0,0,1487,1499,,,5.1
,project.acs.zipcodes.csv,50029,16.1,90.6,25268,0,2,0,1,1,0,647,651,,,4.3
,project.acs.zipcodes.csv,50032,12.5,86.5,35851,0,0,0,0,0,0,104,104,,,53.4
,project.acs.zipcodes.csv,50033,0,90.5,28958,0,0,0,1,0,0,40,41,,,3
,project.acs.zipcodes.csv,50034,14.7,98.1,25179,0,0,0,0,0,0,365,365,,,3.8
,project.acs.zipcodes.csv,50035,35.2,94.3,43527,82,0,0,0,58,0,6422,6562,,,1.3
,project.acs.zipcodes.csv,50036,22.5,96,31151,31,272,0,53,47,8,15840,16251,,,4.1
,project.acs.zipcodes.csv,50038,0,100,34250,0,0,0,0,0,0,72,72,,,66.7
,project.acs.zipcodes.csv,50039,10.6,98,26250,0,0,0,0,6,0,313,319,,,4.8
,project.acs.zipcodes.csv,50041,0,83,23750,0,0,0,0,0,0,53,53,,,0
,project.acs.zipcodes.csv,50042,11.3,93.3,28125,0,0,0,0,0,0,267,267,,,0
,project.acs.zipcodes.csv,50044,8.1,89.9,25139,0,0,0,1,0,0,1087,1088,,,5.3
,project.acs.zipcodes.csv,50046,36.3,96.2,41118,2,6,0,2,10,0,1381,1401,,,2.6
,project.acs.zipcodes.csv,50047,29.7,97.2,38850,44,0,0,24,149,0,5714,5931,,,2.8
,project.acs.zipcodes.csv,50048,11.6,92.9,30705,0,0,0,0,20,0,764,784,,,2.7
,project.acs.zipcodes.csv,50049,17.5,91.9,28672,0,7,0,0,113,0,6484,6604,,,5.1
,project.acs.zipcodes.csv,50050,16.9,93.8,33125,2,0,0,7,15,0,682,706,,,3
,project.acs.zipcodes.csv,50051,2.9,91.1,26570,0,0,0,0,0,0,361,361,,,23.7
,project.acs.zipcodes.csv,50052,21.6,91.4,34250,0,0,0,0,1,0,165,166,,,3.3
,project.acs.zipcodes.csv,50054,18.9,95,33107,9,7,21,0,82,23,2766,2908,,,9.6
,project.acs.zipcodes.csv,50055,10.9,95.8,31838,2,3,0,0,7,0,905,917,,,1
,project.acs.zipcodes.csv,50056,24.4,93.4,32994,5,0,0,0,9,17,1428,1459,,,3.5
,project.acs.zipcodes.csv,50057,26.8,90.6,20179,0,0,0,0,0,0,256,256,,,0
