"","zipcode","sum.sale.dollars.","population","perCapitaSales"
"1",50002,43108,1364,31.6041055718475
"2",50003,306111,6893,44.4089656172929
"3",50006,93956,1524,61.6509186351706
"4",50009,2212755,18600,118.965322580645
"5",50010,6823228,32111,212.488804459531
"6",50014,501822,29725,16.8821530698066
"7",50020,69026,1198,57.6176961602671
"8",50021,3168557,24993,126.777777777778
"9",50022,1012777,8148,124.297619047619
"10",50023,1425776,33001,43.2040241204812
"11",50025,128960,3107,41.5062761506276
"12",50028,31418,1499,20.9593062041361
"13",50033,36263,41,884.463414634146
"14",50035,82743,6562,12.6094178604084
"15",50036,1216408,16251,74.8512706910344
"16",50044,14756,1088,13.5625
"17",50046,25233,1401,18.0107066381156
"18",50047,84526,5931,14.2515596020907
"19",50048,25446,784,32.4566326530612
"20",50049,369919,6604,56.0143852210781
"21",50054,115358,2908,39.6691884456671
"22",50056,39066,1459,26.7758738862234
"23",50058,62558,2107,29.6905552918842
"24",50060,94007,2512,37.4231687898089
"25",50061,14610,1599,9.13696060037523
"26",50069,73036,1151,63.4543874891399
"27",50071,19936,909,21.9317931793179
"28",50072,19367,2468,7.84724473257699
"29",50075,50688,851,59.5628672150411
"30",50076,31792,1591,19.9824010056568
"31",50107,20096,1116,18.0071684587814
"32",50109,25701,2826,9.09447983014862
"33",50111,1078963,12346,87.3937307630002
"34",50112,965345,11532,83.7101109954908
"35",50115,81074,2791,29.0483697599427
"36",50122,41272,1462,28.2298221614227
"37",50123,7652,688,11.1220930232558
"38",50124,75758,3864,19.6061076604555
"39",50125,1475981,19792,74.5746261115602
"40",50126,826140,6879,120.095944177933
"41",50129,359466,4933,72.8696533549564
"42",50130,28802,1661,17.3401565322095
"43",50131,1236256,19683,62.8083117410964
"44",50135,34523,1770,19.5045197740113
"45",50138,796630,11324,70.3488166725539
"46",50140,71191,3191,22.3099341899091
"47",50142,61304,988,62.0485829959514
"48",50144,94188,2703,34.8457269700333
"49",50150,7415,928,7.99030172413793
"50",50156,78900,4268,18.4864104967198
"51",50158,2729343,31273,87.2747417900425
